id;name;type;duration;intensity;location;attenndees;maxsize;starttime
1;Boxing Test;Boxing;1200000000000;7;Mars;0;50;2021-03-27T16:39:48
2;Boxing Test;Boxing;1800000000000;8;Mars;0;40;2021-04-29T19:02:39
3;Jogging Test;Jogging;3600000000000;2;Moon;0;200;2021-03-28T20:39:56
4;Swimming Test;Swimming;3600000000000;5;Moon;0;20;2021-04-11T13:46:04
5;Swimming Test;Swimming;3600000000000;4;Earth;0;30;2021-03-29T14:58:46
6;Yoga Test;Yoga;2400000000000;1;Earth;0;70;2021-04-03T04:54:28
7;Yoga Test;Yoga;1800000000000;3;Earth;0;60;2021-05-01T18:43:43
8;Wrestling Test;Wrestling;3600000000000;7;Earth;0;20;2021-03-25T03:54:05
9;Wrestling Test;Wrestling;3600000000000;8;Earth;0;10;2021-04-22T09:30:01
10;Boxing Test;Boxing;3600000000000;9;Mars;0;12;2021-04-03T22:14:14
